2026-06-23 09:48:00.485 Uvicorn server started on 0.0.0.0:8501

  You can now view your Streamlit app in your browser.

  Local URL: http://localhost:8501
  Network URL: http://192.168.68.59:8501
  External URL: http://173.79.85.196:8501

  For better performance, install the Watchdog module:

  $ xcode-select --install
  $ pip install watchdog
            
09:48:03 | INFO     | celo_trader | logging_initialised
09:56:13 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:56:13 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:56:13 | INFO     | celo_trader.broker | get_session_bars(BAC 5Min): 6 bars for 2026-06-23 (extended_live=True)
09:56:14 | INFO     | celo_trader.broker | get_session_bars(BAC 1Min): 26 bars for 2026-06-23 (extended_live=True)
09:56:43 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:56:43 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:56:44 | INFO     | celo_trader.broker | get_session_bars(BAC 1Min): 26 bars for 2026-06-23 (extended_live=True)
09:57:13 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:57:13 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:57:14 | INFO     | celo_trader.broker | get_session_bars(BAC 5Min): 6 bars for 2026-06-23 (extended_live=True)
09:57:14 | INFO     | celo_trader.broker | get_session_bars(BAC 1Min): 27 bars for 2026-06-23 (extended_live=True)
09:57:44 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:57:44 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:57:44 | INFO     | celo_trader.broker | get_session_bars(BAC 1Min): 27 bars for 2026-06-23 (extended_live=True)
09:58:14 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:58:14 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:58:14 | INFO     | celo_trader.broker | get_session_bars(BAC 5Min): 6 bars for 2026-06-23 (extended_live=True)
09:58:15 | INFO     | celo_trader.broker | get_session_bars(BAC 1Min): 28 bars for 2026-06-23 (extended_live=True)
09:58:44 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:58:44 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:58:45 | INFO     | celo_trader.broker | get_session_bars(BAC 1Min): 28 bars for 2026-06-23 (extended_live=True)
09:58:48 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:58:48 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:58:48 | INFO     | celo_trader.broker | get_session_bars(BAC 1Min): 28 bars for 2026-06-23 (extended_live=True)
09:58:49 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:58:49 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:58:49 | INFO     | celo_trader.broker | get_session_bars(BAC 5Min): 6 bars for 2026-06-23 (extended_live=True)
09:58:49 | INFO     | celo_trader.broker | get_session_bars(BAC 1Min): 28 bars for 2026-06-23 (extended_live=True)
09:59:12 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:59:12 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:59:12 | INFO     | celo_trader.broker | get_session_bars(BAC 1Min): 29 bars for 2026-06-23 (extended_live=True)
09:59:31 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:59:31 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:59:32 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:59:32 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:59:35 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:59:35 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:59:35 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:59:35 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:59:36 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:59:36 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:59:36 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
09:59:36 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
09:59:36 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 6 bars for 2026-06-23 (extended_live=True)
09:59:37 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 29 bars for 2026-06-23 (extended_live=True)
10:00:06 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:00:06 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:00:07 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 30 bars for 2026-06-23 (extended_live=True)
10:00:37 | INFO     | celo_trader | logging_initialised
10:00:37 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:00:37 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:00:38 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 6 bars for 2026-06-23 (extended_live=True)
10:00:39 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 30 bars for 2026-06-23 (extended_live=True)
10:01:09 | INFO     | celo_trader | logging_initialised
10:01:09 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:01:09 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:01:10 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 31 bars for 2026-06-23 (extended_live=True)
10:01:28 | INFO     | celo_trader | logging_initialised
10:01:28 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:01:28 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:01:28 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 31 bars for 2026-06-23 (extended_live=True)
10:01:29 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:01:29 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:01:29 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 7 bars for 2026-06-23 (extended_live=True)
10:01:29 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 31 bars for 2026-06-23 (extended_live=True)
10:01:59 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:01:59 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:01:59 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 31 bars for 2026-06-23 (extended_live=True)
10:02:29 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:02:29 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:02:30 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 7 bars for 2026-06-23 (extended_live=True)
10:02:30 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 32 bars for 2026-06-23 (extended_live=True)
10:02:59 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:02:59 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:00 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 33 bars for 2026-06-23 (extended_live=True)
10:03:29 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:29 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:32 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:32 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:32 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:32 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:34 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:34 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 7 bars for 2026-06-23 (extended_live=True)
10:03:34 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:34 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:34 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:34 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 33 bars for 2026-06-23 (extended_live=True)
10:03:39 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:39 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:40 | INFO     | celo_trader.broker | get_session_bars(NFLX 1Min): 33 bars for 2026-06-23 (extended_live=True)
10:03:40 | INFO     | celo_trader.database | Database initialised at /Applications/celo_trader/trades_paper.db
10:03:40 | INFO     | celo_trader.database | backfill_daily_summaries: synced 6 date(s)
10:03:40 | INFO     | celo_trader.broker | get_session_bars(NFLX 5Min): 7 bars for 2026-06-23 (extended_live=True)
